# Structure from AMCSD, AMS_ID: 11157          Feff8L (EXAFS)       0.1
# Mineral Name: Platinum
# Journal: Crystal Structures 1, pp. 7-83 (1963)
# Authors: Wyckoff R W G
# Title1:  Second edition. Interscience Publishers, New York, New York
# Title2:  Cubic closest packed, ccp, structure
# Formula:    Pt
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7741
#           2       0.00000     25.11      6.00     2   3.9231
#           3       0.00000     14.85     48.00     3   4.1611
#           4       0.00000      5.82     48.00     3   4.7356
#           5       0.00000     60.00     24.00     2   4.8048
#           6       0.00000     10.35     48.00     3   5.1764
#           7       0.00000     32.15     96.00     3   5.1764
#           8       0.00000     19.97     12.00     2   5.5481
#           9       0.00000      8.20     12.00     3   5.5481
#          10       0.00000     86.27     24.00     3   5.5481
#          11       0.00000     14.99     12.00     4   5.5481
#          13       0.00000      4.82     48.00     4   5.5481
#          14       0.00000     97.24     12.00     4   5.5481
#          15       0.00000      5.06     48.00     4   5.5481
#          16       0.00000      9.79     48.00     4   5.5481
#          19       0.00000     28.51     24.00     2   6.2030
#          20       0.00000      4.54     48.00     3   6.4501
#          21       0.00000      9.56     48.00     3   6.4501
#          22       0.00000     11.38     48.00     3   6.4501
#          23       0.00000      4.04     96.00     3   6.5635
#          24       0.00000      8.96     96.00     4   6.5635
#          25       0.00000      5.80     96.00     4   6.5635
#          28       0.00000      7.12      8.00     2   6.7950
#    23/  25 paths used
#  xsedge+50, used to normalize mu           3.9219E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11744.466    181.127   6.900  9.27588E-01  8.99599E-01  3.11487E-02
   11747.105    183.766   6.950  9.23381E-01  8.98959E-01  2.72002E-02
   11749.762    186.423   7.000  9.15804E-01  8.98319E-01  1.94888E-02
   11752.439    189.100   7.050  9.05562E-01  8.97734E-01  8.72957E-03
   11755.134    191.795   7.100  8.94292E-01  8.97149E-01 -3.18747E-03
   11757.849    194.510   7.150  8.83535E-01  8.96564E-01 -1.45438E-02
   11760.583    197.244   7.200  8.74591E-01  8.95978E-01 -2.38876E-02
   11763.335    199.996   7.250  8.68233E-01  8.95393E-01 -3.03521E-02
   11766.107    202.768   7.300  8.64585E-01  8.94808E-01 -3.37929E-02
   11768.898    205.559   7.350  8.63206E-01  8.94223E-01 -3.46992E-02
   11771.708    208.369   7.400  8.63341E-01  8.93638E-01 -3.39116E-02
   11774.537    211.198   7.450  8.64259E-01  8.93053E-01 -3.22463E-02
   11777.385    214.046   7.500  8.65547E-01  8.92468E-01 -3.01646E-02
   11780.252    216.913   7.550  8.67828E-01  8.91987E-01 -2.70785E-02
   11783.138    219.799   7.600  8.70933E-01  8.91505E-01 -2.30670E-02
   11786.043    222.704   7.650  8.75408E-01  8.91023E-01 -1.75157E-02
   11788.967    225.628   7.700  8.81786E-01  8.90541E-01 -9.82469E-03
   11791.910    228.571   7.750  8.90303E-01  8.90059E-01  2.73347E-04
   11794.872    231.533   7.800  9.00669E-01  8.89577E-01  1.24559E-02
   11797.854    234.515   7.850  9.11968E-01  8.89096E-01  2.56961E-02
   11800.854    237.515   7.900  9.22728E-01  8.88614E-01  3.83409E-02
   11803.873    240.534   7.950  9.31165E-01  8.88132E-01  4.83841E-02
   11806.912    243.573   8.000  9.35555E-01  8.87650E-01  5.38825E-02
   11809.969    246.630   8.050  9.34471E-01  8.87167E-01  5.32293E-02
   11813.046    249.707   8.100  9.27542E-01  8.86684E-01  4.59944E-02
   11816.142    252.803   8.150  9.15419E-01  8.86202E-01  3.29050E-02
   11819.256    255.917   8.200  8.99780E-01  8.85719E-01  1.58426E-02
   11822.390    259.051   8.250  8.83037E-01  8.85236E-01 -2.47866E-03
   11825.543    262.204   8.300  8.67846E-01  8.84753E-01 -1.90654E-02
   11828.715    265.376   8.350  8.56522E-01  8.84270E-01 -3.13040E-02
   11831.905    268.566   8.400  8.50505E-01  8.83787E-01 -3.75629E-02
   11835.115    271.776   8.450  8.50030E-01  8.83304E-01 -3.75707E-02
   11838.344    275.005   8.500  8.54088E-01  8.82821E-01 -3.24572E-02
   11841.592    278.253   8.550  8.60703E-01  8.82252E-01 -2.43552E-02
   11844.859    281.520   8.600  8.67548E-01  8.81682E-01 -1.59841E-02
   11848.145    284.806   8.650  8.72473E-01  8.81112E-01 -9.77593E-03
   11851.451    288.112   8.700  8.74246E-01  8.80543E-01 -7.12857E-03
   11854.775    291.436   8.750  8.72905E-01  8.79973E-01 -8.00639E-03
   11858.118    294.779   8.800  8.69716E-01  8.79403E-01 -1.09800E-02
   11861.480    298.141   8.850  8.66747E-01  8.78834E-01 -1.37063E-02
   11864.862    301.523   8.900  8.66181E-01  8.78264E-01 -1.37107E-02
   11868.262    304.923   8.950  8.69559E-01  8.77694E-01 -9.23620E-03
   11871.682    308.343   9.000  8.77219E-01  8.77125E-01  1.07244E-04
   11875.120    311.781   9.050  8.88233E-01  8.76412E-01  1.34374E-02
   11878.578    315.239   9.100  9.00169E-01  8.75699E-01  2.78364E-02
   11882.054    318.715   9.150  9.10006E-01  8.74986E-01  3.98644E-02
   11885.550    322.211   9.200  9.14955E-01  8.74273E-01  4.63412E-02
   11889.065    325.726   9.250  9.13282E-01  8.73560E-01  4.52794E-02
   11892.598    329.259   9.300  9.04832E-01  8.72847E-01  3.64849E-02
   11896.151    332.812   9.350  8.91091E-01  8.72134E-01  2.16395E-02
   11899.723    336.384   9.400  8.74790E-01  8.71421E-01  3.84826E-03
   11903.314    339.975   9.450  8.59158E-01  8.70708E-01 -1.32023E-02
   11906.924    343.585   9.500  8.47077E-01  8.69995E-01 -2.62158E-02
   11910.553    347.214   9.550  8.40204E-01  8.69266E-01 -3.32683E-02
   11914.201    350.862   9.600  8.39245E-01  8.68537E-01 -3.35567E-02
   11917.868    354.529   9.650  8.43215E-01  8.67807E-01 -2.81950E-02
   11921.554    358.215   9.700  8.50073E-01  8.67078E-01 -1.95106E-02
   11925.259    361.921   9.750  8.57388E-01  8.66349E-01 -1.02888E-02
   11928.984    365.645   9.800  8.63031E-01  8.65619E-01 -2.97480E-03
   11932.727    369.388   9.850  8.65702E-01  8.64890E-01  9.33387E-04
   11936.489    373.150   9.900  8.65164E-01  8.64161E-01  1.15456E-03
   11940.271    376.932   9.950  8.62155E-01  8.63431E-01 -1.47033E-03
   11944.071    380.732  10.000  8.58056E-01  8.62702E-01 -5.35501E-03
   11947.891    384.552  10.050  8.54217E-01  8.61946E-01 -8.91646E-03
   11951.729    388.390  10.100  8.52257E-01  8.61190E-01 -1.03146E-02
   11955.587    392.248  10.150  8.53147E-01  8.60434E-01 -8.42121E-03
   11959.464    396.125  10.200  8.57167E-01  8.59678E-01 -2.90414E-03
   11963.359    400.020  10.250  8.63870E-01  8.58922E-01  5.72789E-03
   11967.274    403.935  10.300  8.72175E-01  8.58166E-01  1.62305E-02
   11971.208    407.869  10.350  8.80553E-01  8.57411E-01  2.68361E-02
   11975.161    411.822  10.400  8.87274E-01  8.56655E-01  3.55371E-02
   11979.133    415.794  10.450  8.90692E-01  8.55899E-01  4.04167E-02
   11983.124    419.785  10.500  8.89548E-01  8.55143E-01  4.00003E-02
   11987.134    423.795  10.550  8.83251E-01  8.54387E-01  3.35875E-02
   11991.163    427.824  10.600  8.72091E-01  8.53631E-01  2.14993E-02
   11995.211    431.872  10.650  8.57303E-01  8.52875E-01  5.16138E-03
   11999.278    435.939  10.700  8.40941E-01  8.52119E-01 -1.30409E-02
   12003.364    440.025  10.750  8.25537E-01  8.51363E-01 -3.01561E-02
   12007.469    444.130  10.800  8.13597E-01  8.50607E-01 -4.32528E-02
   12011.594    448.255  10.850  8.07044E-01  8.49851E-01 -5.00710E-02
   12015.737    452.398  10.900  8.06759E-01  8.49095E-01 -4.95641E-02
