# Pd                                           Feff8L (EXAFS)       0.1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
# Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
# Gam_ch=7.677E+00 H-L exch
# Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7699
#           2       0.00000     19.01      6.00     2   3.9173
#           3       0.00000      8.43     48.00     3   4.1549
#           4       0.00000      5.18     48.00     3   4.7286
#           5       0.00000     40.02     24.00     2   4.7977
#     5/   5 paths used
#  xsedge+50, used to normalize mu           8.2983E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   24909.101    535.032  11.850  1.00598E+00  9.76540E-01  2.99480E-02
   24913.626    539.557  11.900  1.00593E+00  9.76145E-01  3.03087E-02
   24918.169    544.100  11.950  1.00324E+00  9.75750E-01  2.79882E-02
   24922.731    548.663  12.000  9.97075E-01  9.75354E-01  2.21242E-02
   24927.313    553.244  12.050  9.87010E-01  9.74834E-01  1.24090E-02
   24931.913    557.845  12.100  9.73813E-01  9.74315E-01 -5.11660E-04
   24936.533    562.464  12.150  9.58779E-01  9.73795E-01 -1.53225E-02
   24941.172    567.103  12.200  9.43707E-01  9.73275E-01 -3.01893E-02
   24945.829    571.761  12.250  9.30587E-01  9.72755E-01 -4.30799E-02
   24950.506    576.437  12.300  9.21237E-01  9.72235E-01 -5.21333E-02
   24955.202    581.133  12.350  9.16965E-01  9.71716E-01 -5.60023E-02
   24959.917    585.848  12.400  9.18334E-01  9.71196E-01 -5.41030E-02
   24964.651    590.582  12.450  9.25055E-01  9.70676E-01 -4.67203E-02
   24969.404    595.335  12.500  9.36047E-01  9.70156E-01 -3.49521E-02
   24974.176    600.107  12.550  9.49640E-01  9.69636E-01 -2.05024E-02
   24978.967    604.898  12.600  9.63885E-01  9.69116E-01 -5.36764E-03
   24983.777    609.708  12.650  9.76897E-01  9.68597E-01  8.52108E-03
   24988.606    614.537  12.700  9.87186E-01  9.68077E-01  1.96285E-02
   24993.454    619.385  12.750  9.93880E-01  9.67557E-01  2.70550E-02
   24998.321    624.253  12.800  9.96830E-01  9.67037E-01  3.06400E-02
   25003.208    629.139  12.850  9.96558E-01  9.66517E-01  3.09141E-02
   25008.113    634.044  12.900  9.94077E-01  9.65998E-01  2.89135E-02
   25013.038    638.969  12.950  9.90617E-01  9.65478E-01  2.59010E-02
   25017.981    643.912  13.000  9.87320E-01  9.64958E-01  2.30543E-02
   25022.943    648.875  13.050  9.85023E-01  9.64453E-01  2.12186E-02
   25027.925    653.856  13.100  9.83943E-01  9.63948E-01  2.06368E-02
   25032.926    658.857  13.150  9.83742E-01  9.63443E-01  2.09626E-02
   25037.945    663.877  13.200  9.83591E-01  9.62938E-01  2.13412E-02
   25042.984    668.915  13.250  9.82387E-01  9.62434E-01  2.06302E-02
   25048.042    673.973  13.300  9.79037E-01  9.61929E-01  1.76986E-02
   25053.119    679.050  13.350  9.72763E-01  9.61424E-01  1.17374E-02
   25058.214    684.146  13.400  9.63347E-01  9.60919E-01  2.51424E-03
   25063.329    689.261  13.450  9.51261E-01  9.60414E-01 -9.48558E-03
   25068.463    694.395  13.500  9.37665E-01  9.59909E-01 -2.30658E-02
   25073.616    699.548  13.550  9.24245E-01  9.59404E-01 -3.64793E-02
   25078.788    704.720  13.600  9.12938E-01  9.58900E-01 -4.77145E-02
   25083.979    709.911  13.650  9.05587E-01  9.58395E-01 -5.48540E-02
   25089.190    715.121  13.700  9.03588E-01  9.57890E-01 -5.64389E-02
   25094.419    720.350  13.750  9.07609E-01  9.57385E-01 -5.17645E-02
   25099.667    725.598  13.800  9.17430E-01  9.56880E-01 -4.10502E-02
   25104.934    730.866  13.850  9.31935E-01  9.56375E-01 -2.54465E-02
